region,year,sex,age_group,prevalence,unemployment_rate,policy_index,sunshine_hours
Abruzzo,2010,Male,15-24,30.5,8.28,61.2,1985.5
Abruzzo,2010,Male,25-44,31.86,8.28,61.2,1985.5
Abruzzo,2010,Male,45-64,29.65,8.28,61.2,1985.5
Abruzzo,2010,Male,65+,27.52,8.28,61.2,1985.5
Abruzzo,2010,Female,15-24,25.77,8.28,61.2,1985.5
Abruzzo,2010,Female,25-44,27.77,8.28,61.2,1985.5
Abruzzo,2010,Female,45-64,26.58,8.28,61.2,1985.5
Abruzzo,2010,Female,65+,22.77,8.28,61.2,1985.5
Abruzzo,2011,Male,15-24,29.23,9.83,64.8,2074.6
Abruzzo,2011,Male,25-44,32.24,9.83,64.8,2074.6
Abruzzo,2011,Male,45-64,28.24,9.83,64.8,2074.6
Abruzzo,2011,Male,65+,25.23,9.83,64.8,2074.6
Abruzzo,2011,Female,15-24,25.94,9.83,64.8,2074.6
Abruzzo,2011,Female,25-44,25.79,9.83,64.8,2074.6
Abruzzo,2011,Female,45-64,22.98,9.83,64.8,2074.6
Abruzzo,2011,Female,65+,21.14,9.83,64.8,2074.6
Abruzzo,2012,Male,15-24,28.39,9.69,69.0,2124.7
Abruzzo,2012,Male,25-44,31.71,9.69,69.0,2124.7
Abruzzo,2012,Male,45-64,27.49,9.69,69.0,2124.7
Abruzzo,2012,Male,65+,23.99,9.69,69.0,2124.7
Abruzzo,2012,Female,15-24,26.87,9.69,69.0,2124.7
Abruzzo,2012,Female,25-44,27.17,9.69,69.0,2124.7
Abruzzo,2012,Female,45-64,24.47,9.69,69.0,2124.7
Abruzzo,2012,Female,65+,19.98,9.69,69.0,2124.7
Abruzzo,2013,Male,15-24,28.56,10.41,67.6,2280.6
Abruzzo,2013,Male,25-44,31.21,10.41,67.6,2280.6
Abruzzo,2013,Male,45-64,26.95,10.41,67.6,2280.6
Abruzzo,2013,Male,65+,25.48,10.41,67.6,2280.6
Abruzzo,2013,Female,15-24,24.5,10.41,67.6,2280.6
Abruzzo,2013,Female,25-44,26.81,10.41,67.6,2280.6
Abruzzo,2013,Female,45-64,23.5,10.41,67.6,2280.6
Abruzzo,2013,Female,65+,22.95,10.41,67.6,2280.6
Abruzzo,2014,Male,15-24,28.79,12.62,66.7,2211.1
Abruzzo,2014,Male,25-44,29.74,12.62,66.7,2211.1
Abruzzo,2014,Male,45-64,28.62,12.62,66.7,2211.1
Abruzzo,2014,Male,65+,23.58,12.62,66.7,2211.1
Abruzzo,2014,Female,15-24,25.01,12.62,66.7,2211.1
Abruzzo,2014,Female,25-44,24.84,12.62,66.7,2211.1
Abruzzo,2014,Female,45-64,22.47,12.62,66.7,2211.1
Abruzzo,2014,Female,65+,21.0,12.62,66.7,2211.1
Abruzzo,2015,Male,15-24,29.24,12.33,70.6,2099.5
Abruzzo,2015,Male,25-44,30.67,12.33,70.6,2099.5
Abruzzo,2015,Male,45-64,27.38,12.33,70.6,2099.5
Abruzzo,2015,Male,65+,24.2,12.33,70.6,2099.5
Abruzzo,2015,Female,15-24,23.02,12.33,70.6,2099.5
Abruzzo,2015,Female,25-44,25.78,12.33,70.6,2099.5
Abruzzo,2015,Female,45-64,23.04,12.33,70.6,2099.5
Abruzzo,2015,Female,65+,21.56,12.33,70.6,2099.5
Abruzzo,2016,Male,15-24,28.54,9.52,69.4,2201.9
Abruzzo,2016,Male,25-44,28.44,9.52,69.4,2201.9
Abruzzo,2016,Male,45-64,27.52,9.52,69.4,2201.9
Abruzzo,2016,Male,65+,23.81,9.52,69.4,2201.9
Abruzzo,2016,Female,15-24,23.52,9.52,69.4,2201.9
Abruzzo,2016,Female,25-44,26.81,9.52,69.4,2201.9
Abruzzo,2016,Female,45-64,24.23,9.52,69.4,2201.9
Abruzzo,2016,Female,65+,21.13,9.52,69.4,2201.9
Abruzzo,2017,Male,15-24,27.06,11.28,70.6,2065.0
Abruzzo,2017,Male,25-44,29.59,11.28,70.6,2065.0
Abruzzo,2017,Male,45-64,27.23,11.28,70.6,2065.0
Abruzzo,2017,Male,65+,24.88,11.28,70.6,2065.0
Abruzzo,2017,Female,15-24,23.42,11.28,70.6,2065.0
Abruzzo,2017,Female,25-44,25.71,11.28,70.6,2065.0
Abruzzo,2017,Female,45-64,21.79,11.28,70.6,2065.0
Abruzzo,2017,Female,65+,18.7,11.28,70.6,2065.0
Abruzzo,2018,Male,15-24,28.41,10.73,70.9,2201.5
Abruzzo,2018,Male,25-44,30.96,10.73,70.9,2201.5
Abruzzo,2018,Male,45-64,26.53,10.73,70.9,2201.5
Abruzzo,2018,Male,65+,24.6,10.73,70.9,2201.5
Abruzzo,2018,Female,15-24,23.96,10.73,70.9,2201.5
Abruzzo,2018,Female,25-44,24.95,10.73,70.9,2201.5
